Contributor,Date,Net Amount,Gross Amount
Employer payments,29/05/2026,"3,400.00","3,400.00"
Employer payments,05/05/2026,"3,400.00","3,400.00"
Employer payments,02/04/2026,"3,400.00","3,400.00"
Employer payments,03/03/2026,"3,400.00","3,400.00"
Employer payments,03/02/2026,"3,400.00","3,400.00"
Employer payments,05/01/2026,"3,400.00","3,400.00"
Employer payments,02/12/2025,"3,400.00","3,400.00"
Employer payments,04/11/2025,"3,400.00","3,400.00"
Employer payments,02/10/2025,"3,400.00","3,400.00"
Employer payments,02/09/2025,"3,400.00","3,400.00"
Employer payments,04/08/2025,"3,400.00","3,400.00"
Employer payments,02/07/2025,"3,400.00","3,400.00"
Employer payments,30/05/2025,"2,079.16","2,079.16"
Employer payments,02/05/2025,"2,079.16","2,079.16"
Employer payments,02/04/2025,"2,079.16","2,079.16"
Employer payments,04/03/2025,"2,079.16","2,079.16"
Employer payments,04/02/2025,"2,079.16","2,079.16"
Employer payments,03/01/2025,"2,079.16","2,079.16"
Employer payments,03/12/2024,"2,079.16","2,079.16"
Employer payments,04/11/2024,"2,079.16","2,079.16"
Employer payments,02/10/2024,"2,079.16","2,079.16"
Employer payments,03/09/2024,"2,079.16","2,079.16"
Employer payments,02/08/2024,"2,079.16","2,079.16"
Employer payments,02/07/2024,"2,079.16","2,079.16"
Employer payments,31/05/2024,"2,079.16","2,079.16"
Employer payments,02/05/2024,"2,079.16","2,079.16"
Employer payments,03/04/2024,"2,079.16","2,079.16"
Employer payments,04/03/2024,"2,079.16","2,079.16"
Employer payments,02/02/2024,"2,079.16","2,079.16"
Employer payments,03/01/2024,"2,079.16","2,079.16"
Employer payments,04/12/2023,"2,079.16","2,079.16"
Employer payments,02/11/2023,"2,079.16","2,079.16"
Employer payments,03/10/2023,"2,079.16","2,079.16"
Employer payments,04/09/2023,"2,079.16","2,079.16"
Employer payments,02/08/2023,"2,079.16","2,079.16"
Employer payments,04/07/2023,"2,079.16","2,079.16"
Employer payments,02/06/2023,"1,999.20","1,999.20"
Employer payments,03/05/2023,"1,999.20","1,999.20"
Employer payments,04/04/2023,"1,999.20","1,999.20"
Employer payments,02/03/2023,"1,999.20","1,999.20"
Employer payments,02/02/2023,"1,999.20","1,999.20"
Employer payments,04/01/2023,"1,999.20","1,999.20"
Employer payments,02/12/2022,"1,999.20","1,999.20"
Employer payments,02/11/2022,"1,999.20","1,999.20"
Employer payments,04/10/2022,"1,999.20","1,999.20"
Employer payments,02/09/2022,"1,999.20","1,999.20"
Employer payments,02/08/2022,"1,999.20","1,999.20"
Employer payments,04/07/2022,"1,999.20","1,999.20"
Employer payments,06/06/2022,"1,903.99","1,903.99"
Employer payments,04/05/2022,"1,903.99","1,903.99"
Employer payments,04/04/2022,"1,903.99","1,903.99"
Employer payments,02/03/2022,"1,903.99","1,903.99"
Employer payments,02/02/2022,"1,903.99","1,903.99"
